Designator,Mid X,Mid Y,Rotation,Layer
C1,33.1,-30.3,90.0,top
C10,39.5,-25.9,135.0,top
C11,55.1,-23.2,45.0,top
C12,52.9,-28.8,315.0,top
C13,53.3,-23.2,45.0,top
C14,53.8,-25.2,315.0,top
C16,29.3,-26.2,180.0,bottom
C17,29.3,-31.4,0.0,bottom
C2,33.1,-27.2,270.0,top
C3,60.0,-26.6,270.0,top
C4,58.1,-22.8,0.0,top
C5,60.0,-32.0,90.0,top
C6,60.0,-29.6,270.0,top
C7,44.1,-35.5,315.0,top
C8,52.9,-31.5,315.0,top
C9,45.9,-35.4,315.0,top
D1,29.8,-33.6,180.0,top
D2,29.8,-23.9,180.0,top
D3,63.9,-30.7,90.0,top
FB1,51.4,-23.2,225.0,top
J1,72.1,-28.75,90.0,top
J2,69.5,-36.8,0.0,top
J3,69.5,-20.7,180.0,top
J4,44.77675,-38.3,90.0,bottom
J5,44.77675,-19.2,90.0,bottom
J6,20.7,-28.75,270.0,top
R1,31.6,-30.3,90.0,top
R2,31.6,-27.2,270.0,top
R3,27.5,-27.5,0.0,top
R4,27.4,-30.5,180.0,top
R5,27.4,-33.6,0.0,top
R6,27.4,-23.9,180.0,top
R7,63.9,-27.2,270.0,top
SW1,35.9,-32.2,90.0,top
SW2,35.9,-25.3,90.0,top
U1,46.2,-28.75,135.0,top
U2,29.3,-28.8,0.0,bottom
Y1,57.3,-25.75,90.0,top
Y2,57.8,-30.8,90.0,top
